Sample,Isotope,Evaluation,g / gUI
GKN-II,Nd-146,ENDF VII.1 + mod-Mughabghab,1.279E+00
GKN-II,Nd-148,ENDF VII.1 + mod-Mughabghab,6.572E-01
GKN-II,Nd-150,ENDF VII.1 + mod-Mughabghab,3.265E-01
GKN-II,Sm-147,ENDF VII.1 + mod-Mughabghab,3.251E-01
GKN-II,Sm-148,ENDF VII.1 + mod-Mughabghab,2.973E-01
GKN-II,Sm-149,ENDF VII.1 + mod-Mughabghab,2.790E-03
GKN-II,Sm-150,ENDF VII.1 + mod-Mughabghab,5.275E-01
GKN-II,Sm-151,ENDF VII.1 + mod-Mughabghab,1.593E-02
GKN-II,Sm-152,ENDF VII.1 + mod-Mughabghab,1.557E-01
GKN-II,Sm-154,ENDF VII.1 + mod-Mughabghab,7.460E-02
GKN-II,Eu-153,ENDF VII.1 + mod-Mughabghab,2.031E-01
GKN-II,Eu-154,ENDF VII.1 + mod-Mughabghab,2.700E-02
GKN-II,Eu-155,ENDF VII.1 + mod-Mughabghab,5.633E-03
GKN-II,Gd-155,ENDF VII.1 + mod-Mughabghab,1.089E-02
