Sample,Isotope,Evaluation,g / g Uinit
87-63,Pu-240,ENDF VII.1 + mod-Mughabghab v1,2.90E-03
87-63,Pu-241,ENDF VII.1 + mod-Mughabghab v1,1.15E-03
87-63,Pu-242,ENDF VII.1 + mod-Mughabghab v1,9.14E-04
87-63,Np-237,ENDF VII.1 + mod-Mughabghab v1,5.39E-04
87-63,Am-241,ENDF VII.1 + mod-Mughabghab v1,3.91E-04
87-63,Cs-133,ENDF VII.1 + mod-Mughabghab v1,1.43E-03
87-63,Cs-134,ENDF VII.1 + mod-Mughabghab v1,2.84E-05
87-63,Cs-135,ENDF VII.1 + mod-Mughabghab v1,5.02E-04
87-63,Cs-137,ENDF VII.1 + mod-Mughabghab v1,1.38E-03
87-63,Nd-143,ENDF VII.1 + mod-Mughabghab v1,8.76E-04
87-63,Nd-144,ENDF VII.1 + mod-Mughabghab v1,1.82E-03
87-63,Nd-145,ENDF VII.1 + mod-Mughabghab v1,8.33E-04
87-63,Nd-146,ENDF VII.1 + mod-Mughabghab v1,9.32E-04
87-63,Nd-148,ENDF VII.1 + mod-Mughabghab v1,4.86E-04
87-63,Nd-150,ENDF VII.1 + mod-Mughabghab v1,2.42E-04
87-63,Sm-147,ENDF VII.1 + mod-Mughabghab v1,2.95E-04
87-63,Sm-148,ENDF VII.1 + mod-Mughabghab v1,2.11E-04
87-63,Sm-149,ENDF VII.1 + mod-Mughabghab v1,2.46E-06
87-63,Sm-150,ENDF VII.1 + mod-Mughabghab v1,3.71E-04
87-63,Sm-151,ENDF VII.1 + mod-Mughabghab v1,1.01E-05
87-63,Sm-152,ENDF VII.1 + mod-Mughabghab v1,1.29E-04
87-63,Sm-154,ENDF VII.1 + mod-Mughabghab v1,5.33E-05
87-63,Eu-151,ENDF VII.1 + mod-Mughabghab v1,1.07E-06
87-63,Eu-152,ENDF VII.1 + mod-Mughabghab v1,5.66E-09
87-63,Eu-153,ENDF VII.1 + mod-Mughabghab v1,1.54E-04
87-63,Eu-154,ENDF VII.1 + mod-Mughabghab v1,1.13E-05
87-63,Eu-155,ENDF VII.1 + mod-Mughabghab v1,1.83E-06
87-63,Gd-154,ENDF VII.1 + mod-Mughabghab v1,2.60E-05
87-63,Gd-155,ENDF VII.1 + mod-Mughabghab v1,1.03E-05
87-63,Gd-156,ENDF VII.1 + mod-Mughabghab v1,1.65E-04
87-63,Gd-158,ENDF VII.1 + mod-Mughabghab v1,2.91E-05
87-63,Gd-160,ENDF VII.1 + mod-Mughabghab v1,1.71E-06
87-63,Tc-99,ENDF VII.1 + mod-Mughabghab v1,1.03E-03
87-63,Sr-90,ENDF VII.1 + mod-Mughabghab v1,5.55E-04
87-81,U-234,ENDF VII.0,1.81E-04
87-81,U-235,ENDF VII.0,9.59E-03
87-81,U-236,ENDF VII.0,3.62E-03
87-81,U-238,ENDF VII.0,9.50E-01
87-81,Pu-238,ENDF VII.0,1.03E-04
87-81,Pu-239,ENDF VII.0,4.95E-03
87-81,Pu-240,ENDF VII.0,1.97E-03
87-81,Pu-241,ENDF VII.0,7.48E-04
87-81,Pu-242,ENDF VII.0,3.09E-04
87-81,Np-237,ENDF VII.0,3.16E-04
87-81,Am-241,ENDF VII.0,2.74E-04
87-81,Cs-133,ENDF VII.0,9.60E-04
87-81,Cs-134,ENDF VII.0,1.13E-05
87-81,Cs-135,ENDF VII.0,4.27E-04
